airline_id,name,alias,code,callsign,country,active
1520,Berytos Airlines,\N,BYR,,Lebanon,False
1521,Bayu Indonesia Air,\N,BYE,BAYU,Indonesia,False
1522,Bizair Fluggesellschaft,\N,BZA,BERLIN BEAR,Germany,False
1523,Brit Air,\N,BZH,BRITAIR,France,True
1524,Butane Buzzard Aviation Corporation,\N,BZZ,BUZZARD,United Kingdom,False
1525,Business Flight Salzburg,\N,AUJ,AUSTROJET,Austria,False
1526,BKS Air (Rivaflecha),\N,CKM,COSMOS,Spain,False
1527,Bristol Flying Centre,\N,CLF,CLIFTON,United Kingdom,False
1528,Barnes Olsen Aeroleasing,\N,CLN,SEELINE,United Kingdom,False
1529,Baltimore Air Transport,\N,CPJ,CORPJET,United States,False
1530,Boston-Maine Airways,\N,CXS,CLIPPER CONNECTION,United States,False
1531,Brussels Airlines,SN Brussels Airlines,DAT,BEE-LINE,Belgium,True
1532,Baltimore Airways,\N,EAH,EASTERN,United States,False
1533,Bond Aviation,\N,EBA,BOND AVIATION,Italy,False
1534,Brazilian Army Aviation,\N,EXB,BRAZILIAN ARMY,Brazil,False
1535,Business Express Delivery,\N,EXP,EXPRESS AIR,Canada,False
1536,Bel Limited,\N,FOS,,Russia,False
1537,Bangkok Aviation Center,\N,HAW,THAI HAWK,Thailand,False
1538,Benair,\N,HAX,SCOOP,Norway,False
1539,Binter Canarias,\N,IBB,,Spain,True
1540,Bonyad Airlines,\N,IRJ,BONYAD AIR,Iran,False
1541,Burundaiavia,\N,IVR,RERUN,Kazakhstan,False
1542,Blue Air,\N,JOR,BLUE TRANSPORT,Romania,True
1543,British Mediterranean Airways,\N,LAJ,BEE MED,United Kingdom,True
1544,Belle Air,\N,LBY,ALBAN-BELLE,Albania,False
1545,Blom Geomatics,\N,LED,SWEEPER,Norway,False
1546,Benin Littoral Airways,\N,LTL,LITTORAL,Benin,False
1547,Bombardier Business Jet Solutions,\N,LXJ,FLEXJET,United States,False
1548,Bulgaria Air,\N,LZB,FLYING BULGARIA,Bulgaria,True
1549,Brazilian Navy Aviation,\N,MBR,BRAZILIAN NAVY,Brazil,False
1550,Barents AirLink,\N,NKF,NORDFLIGHT,Sweden,True
1551,Belgian Navy,\N,NYB,BELGIAN NAVY,Belgium,False
1552,Bakoji Airlines Services,\N,OGJ,BAKO AIR,Nigeria,False
1553,Benders Air,\N,PEB,PALEMA,Sweden,False
1554,Balmoral Central Contracts,\N,PNT,PORTNET,South Africa,False
1555,BGB Air,\N,POI,BOJBAN,Kazakhstan,False
1556,Butte Aviation,\N,PPS,PIPESTONE,United States,False
1557,Bond Air Services,\N,RHD,RED HEAD,United Kingdom,False
1558,Business Airfreight,\N,RLR,RATTLER,United States,False
1559,BAC Express Airlines,\N,RPX,RAPEX,United Kingdom,False
1560,Boscombe Down DERA (Formation),\N,RRS,BLACKBOX,United Kingdom,False
1561,Business Jet Sweden,\N,SCJ,SCANJET,Sweden,False
1562,British Airways Shuttle,\N,SHT,SHUTTLE,United Kingdom,False
1563,British Sky Broadcasting,\N,SKH,SKYNEWS,United Kingdom,False
1564,Bell Helicopter Textron,\N,TXB,TEXTRON,Canada,False
1565,Buzzaway Limited,\N,UKA,UKAY,United Kingdom,False
1566,Biz Jet Charter,\N,VLX,AVOLAR,United States,False
1567,Blue Chip Jet,\N,VOL,BLUE SPEED,Sweden,False
1568,BAE Systems,\N,WFD,AVRO,United Kingdom,False
1569,BAE Systems,\N,WTN,TARNISH,United Kingdom,False
1570,Baseops International,\N,XBO,,United States,False
1571,Bureau Veritas,\N,XDA,,France,False
1572,British Airways,\N,XMS,SANTA,United Kingdom,False
1573,Boskovic Air Charters Limited,\N,ZBA,BOSKY,Kenya,False
1574,C Air Jet Airlines,\N,SRJ,SYRJET,Syrian Arab Republic,False
1575,C N Air,\N,ORO,CAPRI,Spain,False
1576,C and M Aviation,\N,TIP,TRANSPAC,United States,False
1577,C&M Airways,\N,RWG,RED WING,United States,False
1578,C.S.P.,\N,RMU, Societe,AIR-MAUR,False
1579,CABI,\N,CBI,CABI,Ukraine,False
1580,CAI,\N,CPI,AIRCAI,Italy,False
1581,CAL Cargo Air Lines,\N,ICL,CAL,Israel,True
1582,CAM Air Management,\N,CMR,CAMEO,United Kingdom,False
1583,CATA L,\N,CTZ,CATA,Argentina,False
1584,CCF Manager Airline,\N,CCF,TOMCAT,Germany,False
1585,CEDTA (Compania Ecuatoriana De Transportes Aereos),\N,CED,CEDTA,Ecuador,False
1586,CHC Denmark,\N,HBI,HELIBIRD,Denmark,False
1587,CHC Helicopters,\N,HEM,HEMS,Australia,False
1588,CHC Airways,\N,SCH,,Netherlands,False
1589,CHC Helikopter Service,\N,HKS,HELIBUS,Norway,False
1590,CI-Tours,\N,VCI,CI-TOURS,Ivory Coast,False
1591,CKC Services,\N,CKC,,United States,False
1592,CM Stair,\N,CMZ,CEE-EM STAIRS,Mauritania,False
1593,CNET,\N,CNT,KNET,France,False
1594,COAPA AIR,\N,OAP,COAPA,Mexico,False
1595,COMAV,\N,PDR,SPEEDSTER,Namibia,False
1596,CRI Helicopters Mexico,\N,CRH,HELI-MEX,Mexico,False
1597,CSA Air,\N,IRO,IRON AIR,United States,False
1598,CSE Aviation,\N,CSE,OXFORD,United Kingdom,False
1599,CTK Network Aviation,\N,CTQ,CITYLINK,Ghana,False
1600,Cabair College of Air Training,\N,CBR,CABAIR,United Kingdom,False
1601,Cabo Verde Express,\N,CVE,KABEX,Cape Verde,False
1602,Caernarfon Airworld,\N,CWD,AMBASSADOR,United Kingdom,False
1603,Cairo Air Transport Company,\N,CCE,,Egypt,False
1604,Cal Gulf Aviation,\N,CGC,CAL-GULF,Sao Tome and Principe,False
1605,Cal-West Aviation,\N,REZ,CAL AIR,United States,False
1606,California Air Shuttle,\N,CSL,CALIFORNIA SHUTTLE,United States,False
1607,Calima Aviacion,\N,CLI,CALIMA,Spain,True
1608,Calm Air,\N,CAV,CALM AIR,Canada,False
1609,Camai Air,\N,CAM,AIR CAMAI,United States,False
1610,Cambodia Airlines,\N,KHM,CAMBODIA AIRLINES,Cambodia,False
1611,Cameroon Airlines,\N,UYC,CAM-AIR,Cameroon,False
1612,Campania Helicopteros De Transporte,\N,HSO,HELIASTURIAS,Spain,False
1613,CanJet,\N,CJA,CANJET,Canada,False
1614,Canada Jet Charters,\N,PIL,PINNACLE,Canada,False
1615,Canadian Airlines,\N,CDN,CANADIAN,Canada,True
1616,Canadian Coast Guard,\N,CTG,CANADIAN COAST GUARD,Canada,False
1617,Canadian Eagle Aviation,\N,HIA,HAIDA,Canada,False
1618,Canadian Forces,\N,CFC,CANFORCE,Canada,False
1619,Canadian Global Air Ambulance,\N,BZD,BLIZZARD,Canada,False
1620,Canadian Helicopters,\N,CDN,CANADIAN,Canada,False
1621,Canadian Interagency Forest Fire Centre,\N,TKR,TANKER,Canada,False
1622,Canadian National Telecommunications,\N,XNC,,Canada,False
1623,Canadian North,\N,MPE,EMPRESS,Canada,True
1624,Canadian Regional Airlines,\N,CDR,CANADIAN REGIONAL,Canada,False
1625,Canadian Warplane Heritage Museum,\N,CWH,WARPLANE HERITAGE,Canada,False
1626,Canadian Western Airlines,\N,CWA,CANADIAN WESTERN,Canada,False
1627,Canair,\N,CWW,CANAIR,China,False
1628,Cancun Air,\N,CUI,CAN-AIR,Mexico,False
1629,Cape Air,\N,KAP,CAIR,United States,True
1630,Cape Air Transport,\N,CTO,,Australia,False
1631,Cape Central Airways,\N,SEM,SEMO,United States,False
1632,Cape Smythe Air,\N,CMY,CAPE SMYTHE AIR,United States,False
1633,Capital Air Service,\N,CPX,CAPAIR,United States,False
1634,Capital Airlines,\N,CPD,CAPITAL DELTA,Kenya,False
1635,Capital Airlines Limited,\N,NCP,CAPITAL SHUTTLE,Nigeria,False
1636,Capital Cargo International Airlines,\N,CCI,CAPPY,United States,False
1637,Capital City Air Carriers,\N,CCQ,CAP CITY,United States,False
1638,Capital Trading Aviation,\N,EGL,PRESTIGE,United Kingdom,False
